Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Medicines
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,Topical antifungal cream
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,Topical antifungal cream
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,Topical antifungal cream
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,Topical antifungal cream
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,Topical antifungal cream
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,Topical antifungal cream
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,Topical antifungal cream
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,Topical antifungal cream
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,Topical antifungal cream
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,Topical antifungal cream
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,Antihistamines
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,Antihistamines
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,Antihistamines
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,Antihistamines
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,Antihistamines
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,Antihistamines
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,Antihistamines
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,Antihistamines
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,Antihistamines
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,Antihistamines
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,Antacids
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,Antacids
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,Antacids
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,Antacids
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,,Antacids
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,,Antacids
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,Antacids
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,Antacids
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,Antacids
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,Antacids
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,Consult doctor
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Consult doctor
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Consult doctor
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Consult doctor
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Consult doctor
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Consult doctor
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,Consult doctor
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,,Consult doctor
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,Consult doctor
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,Consult doctor
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,Consult doctor
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,Consult doctor
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,Consult doctor
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,Consult doctor
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,Consult doctor
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,Consult doctor
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,Consult doctor
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,Consult doctor
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,Consult doctor
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,Consult doctor
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,Proton pump inhibitors
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,Proton pump inhibitors
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,Proton pump inhibitors
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,Proton pump inhibitors
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,Proton pump inhibitors
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,,,,,,,,,,,,,Proton pump inhibitors
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,,,,,,,,,,,,,Proton pump inhibitors
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,,,,,Proton pump inhibitors
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,Proton pump inhibitors
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,Proton pump inhibitors
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,Consult doctor
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,Consult doctor
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,Consult doctor
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,,,,,,,,,,,,,,,Consult doctor
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,Consult doctor
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,Consult doctor
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,Consult doctor
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,Consult doctor
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,Consult doctor
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,Consult doctor
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,Consult doctor
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,Consult doctor
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Consult doctor
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Consult doctor
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Consult doctor
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Consult doctor
Diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Consult doctor
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Consult doctor
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Consult doctor
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,,,,,,,,,Consult doctor
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,Oral rehydration salts (ORS)
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,Oral rehydration salts (ORS)
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,Oral rehydration salts (ORS)
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,Oral rehydration salts (ORS)
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,Oral rehydration salts (ORS)
Gastroenteritis, vomiting, sunken_eyes, dehydration,,,,,,,,,,,,,,,Oral rehydration salts (ORS)
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,Oral rehydration salts (ORS)
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,Oral rehydration salts (ORS)
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,Oral rehydration salts (ORS)
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,Oral rehydration salts (ORS)
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,Inhaler (Salbutamol)
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,Inhaler (Salbutamol)
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,Inhaler (Salbutamol)
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,Inhaler (Salbutamol)
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,,,,,,,,,,,,,Inhaler (Salbutamol)
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,,,,,,,,,,,,,Inhaler (Salbutamol)
