Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
Allergy,apply calamine,cover area with bandage,,use ice to compress itching
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy
hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
Diabetes ,have balanced diet,exercise,consult doctor,follow up
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
Hypertension ,meditation,salt baths,reduce stress,get proper sleep
Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up
Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication
Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication
Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help
Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
Hepatitis E,stop alcohol consumption,rest,consult doctor,medication
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
Hepatitis D,consult doctor,medication,eat healthy,follow up
Heart attack,call ambulance,chew or swallow asprin,keep calm,
Pneumonia,consult doctor,medication,rest,follow up
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Tuberculosis,cover mouth,consult doctor,medication,rest
Fever,rest,drink fluids,monitor temperature,consult doctor if persists
Common Cold,rest,drink warm fluids,steam inhalation,avoid cold food
Headache,rest,stay hydrated,avoid stress,over-the-counter pain relief
Mild Cough,drink warm fluids,avoid cold drinks,rest,consult doctor if persists
Sore Throat,gargle with warm salt water,drink warm fluids,avoid irritants,rest voice
Seasonal Allergy,avoid allergens,keep windows closed,shower after being outside,antihistamines
Mild Flu,rest,drink fluids,monitor symptoms,consult doctor if worsens
Indigestion,eat light meals,avoid spicy food,stay upright after eating,antacid if needed
Constipation,drink water,eat fiber,exercise,avoid processed foods
Mild Diarrhea,drink ORS,avoid dairy,rest,consult doctor if persists
Heartburn,avoid spicy food,do not lie down after eating,small frequent meals,antacid if needed
Mild Gastritis,avoid spicy food,small meals,rest,consult doctor if persists
Mild Fatigue,rest,hydrate,balanced diet,light exercise
Body Ache,rest,apply warm compress,light stretching,over-the-counter pain relief
Mild Back Pain,maintain good posture,rest,apply heat,light stretching
Mild Toothache,rinse mouth,avoid very hot/cold foods,over-the-counter pain relief,consult dentist if persists
Mild Ear Pain,avoid inserting objects,keep ear dry,over-the-counter pain relief,consult doctor if persists
Mild Eye Irritation,avoid rubbing eyes,rinse with clean water,rest eyes,consult doctor if persists
Mild Nausea,rest,drink clear fluids,eat bland food,consult doctor if persists
Mild Dizziness,rest,hydrate,avoid sudden movements,consult doctor if persists
